"","Segment","Count","percent"
"1","Loyal Customers",863,24.71
"2","Potential Loyalist",819,23.45
"3","Champions",459,13.14
"4","Others",390,11.17
"5","Hibernating",344,9.85
"6","At Risk",310,8.88
"7","About To Sleep",212,6.07
"8","Need Attention",95,2.72
